Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0686759023080007,4.58966669046099E-05,0.00802681232052238,0,0,0,1.13294377521745,0.00188789576054213,-4.61086428666801E-06,-1.6520981603272E-08,0.00304580142479654,-1.00214597277493E-07,0.00489845053293464,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/base_link.STL,,joint0装配-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,-0.00594143089651693,0.0147620169926348,0.134007745461851,0,0,0,2.01428349544223,0.00429962321274124,1.36522208637239E-06,6.17278366357096E-05,0.00426652200846234,-2.04458192400264E-05,0.00384521324210296,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link1.STL,,joint1装配-1,坐标系1,Joint1,Joint1,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Empty_Link2,0.168085276158061,0.003099453371461,0.0257831114205778,0,0,0,1.08998000132933,0.00160720921922378,-7.52622443320763E-05,1.48938139128472E-05,0.00700482301673562,4.42129888941883E-07,0.00723601144662721,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link2.STL,,link1＋joint2装配-1,坐标系2,Joint2,Joint2,revolute,0,0.0324999999999998,0.193,-1.57079632679489,-0.467936330721615,-3.14159250487207,Empty_Link1,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link3,0.128764782125023,0.00302110230705749,0.0340461897421608,0,0,0,0.522697072035793,0.00043216113803943,-5.02423030752487E-06,-5.36798881085007E-08,0.000877371748783586,9.17708090055539E-08,0.000808609023248165,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link3.STL,,link2＋joint3装配-1,坐标系3,Joint3,Joint3,revolute,0.304,0,-0.0025,0,0,-2.6737,Empty_Link2,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link4,6.3089209474135E-05,1.2534448846746E-05,0.00493120483733125,0,0,0,0.680958682454081,0.000285473000740425,2.55940930870172E-05,4.88809087380181E-07,0.000233369907629536,-6.58951003367431E-08,0.000322924471582946,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link4.STL,,link3＋joint4-joint5装配-1,坐标系4,Joint4,Joint4,revolute,0.32542,0.0070546,0.034,0.021675,1.5708,0,Empty_Link3,0,0,1,0,0,0,0,,,,,,,,
Empty_Link5,-0.00107244655161731,0.0135802023082673,0.0418204923880171,0,0,0,0.404599192331128,0.000118735536323902,-1.28904946096387E-05,3.57191115513863E-11,0.000219145033806168,-1.73981472830066E-10,0.000142592051535857,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link5.STL,,Copy of 装配体2^面向轻小物体抓取的六自由度机械臂-1,坐标系5,Joint5,Joint5,revolute,-0.038577,-0.016159,0.0995,1.5708,0,1.9675,Empty_Link4,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link6,0.000151094846238868,8.71683389527256E-05,0.0773440078372394,0,0,0,0.495575589597777,0.000350160875256342,-0.000178536373193741,2.38016307044856E-08,0.000435758546339801,4.27073665743903E-08,0.000458546828755725,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://面向轻小物体抓取的六自由度机械臂.SLDASM/meshes/Empty_Link6.STL,,齿轮齿条夹爪-1,坐标系6,Joint6,Joint6,revolute,-0.0038378,0.030308,0.041825,-1.5708,1.1723,0.12596,Empty_Link5,0,0,1,0,0,0,0,,,,,,,,
